path_idx,request_id,start_time,travel_time,num_nodes,num_edges,time_per_edge
0,1,0.0,990582.2174928315,120,119,8324.22
1,2,0.0,2614470.913575483,121,120,21787.26
2,3,0.0,640407.5374382001,156,155,4131.66
3,4,0.0,182978.02984767323,9,8,22872.25
4,5,0.0,3422002.244431165,140,139,24618.72
5,6,0.0,921736.3983205328,159,158,5833.77
6,7,0.0,679375.3730524521,97,96,7076.83
7,8,0.0,1221388.3942314526,73,72,16963.73
8,9,0.0,2615672.187556342,86,85,30772.61
9,10,0.0,152968.24219124566,167,166,921.50
10,11,0.0,127293.802546954,19,18,7071.88
11,12,0.0,445834.0067354736,143,142,3139.68
12,13,0.0,1758637.8682264946,132,131,13424.72
13,14,0.0,983404.277888614,84,83,11848.24
14,15,0.0,1748100.7306499737,166,165,10594.55
15,16,0.0,2076899.5015973577,103,102,20361.76
16,17,0.0,1101506.1720248356,104,103,10694.23
17,18,0.0,1262597.9597601753,164,163,7746.00
18,19,0.0,538592.0043740747,110,109,4941.21
19,20,0.0,262121.14612047744,48,47,5577.05
